close	open	ctc	otc	cto	oto	date	wkday	d1	d2	d3	d4	d5
13.28	13.46	-0.03477968	-0.01346318	-0.0213165	-0.027117821	2014101	6	0	0	0	0	1
13.75	13.83	0.007299302	-0.005801322	0.013100624	0.007985523	2014031	5	0	0	0	1	0
13.65	13.72	0.017738824	-0.005115101	0.022853925	0.03485707	2014030	4	0	0	1	0	0
13.41	13.25	0.007485065	0.012003145	-0.00451808	-0.027541748	2014029	3	0	1	0	0	0
13.31	13.62	0.016667052	-0.023023668	0.039690721	0.034357375	2014028	2	1	0	0	0	0
13.09	13.16	-0.00836825	-0.005333346	-0.003034904	-0.02550776	2014025	6	0	0	0	0	1
13.2	13.5	-0.016529302	-0.022472856	0.005943554	-0.015435808	2014024	5	0	0	0	1	0
13.42	13.71	0.006728997	-0.021379362	0.028108359	0.053945663	2014023	4	0	0	1	0	0
13.33	12.99	0.012835208	0.025837304	-0.013002095	-0.02658721	2014022	3	0	1	0	0	0
13.16	13.34	0.009160369	-0.013585115	0.022745484	0.036645322	2014021	2	1	0	0	0	0
13.04	12.86	-0.033185549	0.013899838	-0.047085387	-0.121405291	2014018	6	0	0	0	0	1
13.48	14.52	-0.087320429	-0.074319904	-0.013000525	-0.165887904	2014017	5	0	0	0	1	0
14.71	17.14	-0.237854661	-0.152887379	-0.084967282	0.043524008	2014016	4	0	0	1	0	0
18.66	16.41	0.149428016	0.12849129	0.020936725	-0.040017283	2014015	3	0	1	0	0	0
16.07	17.08	0.022020393	-0.060954009	0.082974401	0.046129772	2014014	2	1	0	0	0	0
15.72	16.31	-0.047213737	-0.03684463	-0.010369108	-0.079523779	2014011	6	0	0	0	0	1
16.48	17.66	-0.173382042	-0.069154671	-0.104227371	-0.133885237	2014010	5	0	0	0	1	0
19.6	20.19	-0.037059824	-0.029657866	-0.007401958	0.060222276	2014009	4	0	0	1	0	0
20.34	19.01	0.046800993	0.067624234	-0.020823241	0.013238213	2014008	3	0	1	0	0	0
19.41	18.76	0.147987332	0.034061454	0.113925879	0.057032998	2014007	2	1	0	0	0	0
16.74	17.72	-0.054067221	-0.05689288	0.002825659	0.063485652	2014004	6	0	0	0	0	1
17.67	16.63	0.062465591	0.060659993	0.001805598	0.013926958	2014003	5	0	0	0	1	0
16.6	16.4	0.06598535	0.012121361	0.05386399	0.005502918	2014002	4	0	0	1	0	0
15.54	16.31	-0.06598535	-0.048361072	-0.017624279	-0.069850872	2014001	3	0	1	0	0	0
16.6	17.49	0.071146652	-0.052226594	0.123373246	0.179238835	2013930	2	1	0	0	0	0
15.46	14.62	0.094922157	0.055865589	0.039056568	0.057721862	2013927	6	0	0	0	0	1
14.06	13.8	0.003562526	0.018665294	-0.015102768	-0.031386314	2013926	5	0	0	0	1	0
14.01	14.24	-0.00498399	-0.016283546	0.011299555	0.004927852	2013925	4	0	0	1	0	0
14.08	14.17	-0.016203243	-0.006371703	-0.00983154	0.009216655	2013924	3	0	1	0	0	0
